ID;NOME ORG;Latitude;Longitude
1; 35.580.742/0001-18 | INSTITUTO SAMARITANOS EM AÇÃO;-23,4857289;-46,5637655
2;00.000.104/0001-04 | INSTITUTO GRANDE VITÓRIA;-23,4431932;-46,7277633
3;00.000.104/0002-87 | CEI GRANDE VITÓRIA;-23,4431932;-46,7277633
4;00.000.355/0001-80 | APRENDENDO A VIVER E CRESCER;-23,4606304;-46,6669748
5;00.035.264/0001-80 | AMPAC-ASSOCIAÇÃO DO MOVIMENTO POPULAR DE AMPLA CIDADANIA;-23,4319509;-46,7271969
6;00.057.160/0001-77 | ASSOCIAÇÃO BENEFICENTE PASSOS PARA O FUTURO;-23,5919071;-46,3939073
7;00.077.336/0001-52 | ASSOCIAÇÃO DOS IDOSOS DE SAPOPEMBA VIDA NOVA;-23,598333;-46,5161492
8;00.077.348/0001-87 | ASSOCIAÇÃO DOS SEM TERRA DA COHAB JUSCELINO;-23,5703554;-46,3994912
9;00.078.760/0001-11 | IGREJA UNIDA DE AGUA RASA;-23,5627846;-46,5753666
10;00.087.087/0001-86 | IGREJAS RENOVO PENTECOSTAL;-23,5044632;-46,3898962
11;00.092.872/0001-27 | INSTITUTO CONQUISTA;-23,51946;-46,3925625
12;00.099.674/0001-95 | ASSOCIAÇÃO TRES PODERES;-23,5831475;-46,5812087
13;00.103.154/0001-09 | INSTITUTO EDUCACIONAL DEZESSETE DE AGOSTO;-23,5582362;-46,407478
14;00.113.844/0001-49 | ASSOCIACAO CULTURAL NOVO HORIZONTE;-23,5682616;-46,4027326
15;00.113.873/0001-00 | ASSOCIACAO BENEFICENTE DO MOVIMENTO DE MORADIA DO JARDIM VIRGINIA;-23,4966799;-46,3898495
16;00.117.694/0001-41 | ASSOCIAÇÃO AMIGOS DO JD MAJONEL;-23,5165443;-46,4013185
17;00.126.699/0001-30 | ASSOCIAÇÃO COMUNITÁRIA SANTA LUZIA;-23,5211862;-46,3887831
18;00.132.709/0001-40 | ASSOCIAÇÃO DOS POLICIAIS MILITARES COM DEFICIÊNCIA DO ESTADO DE SÃO PAULO E CONGENERES NO ÂMBITO DAS FORÇAS DE SEGURANÇA PÚBLICA;-23,469932;-46,6279123
19;00.142.507/0001-80 | INSTITUTO ANCHIETA GRAJAU;-23,762845;-46,6836652
20;00.152.197/0001-84 | AVIVAH ASSOCIAÇÃO E CENTRO DE DESENVOLVIMENTO E ORIENTAÇÃO;-23,6152541;-46,4554137
21;00.180.856/0001-96 | ASSOCIAÇÃO TIA NILMA;-23,5217583;-46,502331
22;00.180.857/0001-30 | ASSOCIAÇÃO JOVEM BARROCA CITY;-23,5238074;-46,4948428
23;00.183.326/0001-00 | ASSOCIAÇÃO DOS MORADORES DO RIO VERDE;-23,5022768;-46,433561
24;00.209.299/0001-99 | SOCIEDADE DAS MAES CARENTES DO JARDIM AURORA;-23,552703;-46,528655
25;00.209.308/0001-41 | CLUBE DE MAES DO JARDIM SÃO PAULO VELHO E JARDIM SOARES;-23,5564935;-46,3924218
26;00.209.359/0001-73 | ASSOCIAÇÃO BENEFICIENTE ESTRELA DE DAVI (ABC ESTRELA DE DAVI);-23,5704687;-46,3973306
27;00.211.393/0001-82 | ASSOCIAÇÃO CRISTÃ PAZ ESPERANÇA E ADJACENTES;-23,5167229;-46,459772
28;00.265.814/0001-58 | ASSOCIAÇÃO BENEFICENTE COMUNITARIA EM ITAQUERA E ADJACENCIAS;-23,5254058;-46,4526267
29;00.296.276/0001-69 | SOCIEDADE AMIGOS DE BAIRRO  VILA LEME E JARDIM DOS MARIANOS;-23,613083;-46,4240542
30;00.303.704/0001-33 | ASSOCIAÇÃO BENEFICENTE ESPERANÇA  VIVA;-23,4926736;-46,4003254
31;00.309.964/0001-16 | ASSOCIACAO DOS TRABALHADORES APOSENTADOS PENSIONISTAS ANISTIADOS ANISTIANDOS QUIMICOS FARMACEUTICOS E PLASTISCOS DE SAO PAULO EMBU EMBU GUACU TA;-23,4917564;-46,443677
32;00.346.741/0001-29 | ASSOCIAÇÃO DE MULHERES AMIGAS DE JOVA RURAL;-23,4456359;-46,5767828
33;00.351.584/0001-40 | EDIFICCAR ENTIDADE DE FILANT E ASSIST CASA DO CONSOLADOR;-23,6322352;-46,6373506
34;00.419.835/0001-80 | ASSOCIAÇÃO E MINISTÉRIO MAKÁRIOS;-23,531045;-46,7447538
35;00.488.275/0001-16 | AME - ASSOCIACAO DE MORADIA E EMPODERAMENTO;-23,5222185;-46,6385214
36;00.526.126/0001-02 | ASSOCIACAO CULTURAL SATURNINO SALES SANTOS E ADJACENCIA;-23,6060058;-46,5081325
37;00.526.206/0001-50 | ASSOCIAÇÃO BENEFICENTE AÇÃO SOCIAL DE MULHERES DE ZONA LESTE;-23,5555752;-46,4409259
38;00.575.372/0001-46 | IGREJA EVANGELICA ASSEMBLEIA DE DEUS MINISTERIO VILA MONTE SANTO;-23,5077068;-46,4703573
