ID;NOME ORG;Latitude;Longitude
1;Associação Assistência Familia Paulistana ( ASSOCIAÇÃO ASSISTENCIAL DA FAMÍLIA PAULISTANA);-23,7032445;-46,7855024
2;Água Podre;-23,563024;-46,7651473
3;Alto da Alegria;-23,7459397;-46,6914884
4;Associação ASCAZ ( Rua Sidônio Apolinário, 41 - Jardim Santa Fé (Zona Sul), São Paulo - SP, 04859-010) = Adilson - (11) 96253-5760) - 200 famílias - 200 marmitas;-23,7663348;-46,7020988
5;Associação de moradores do jardim Vera Cruz e adjacências - Rua caminho da servidão n 404. Jardim Vera Cruz  Julio CDC (11) 96706-4268  200 famílias - 200 marmitas;-23,7411877;-46,7789808
6;Associação dos moradores do Jardim São Carlos, Rua Silvia de Moraes Brandão n°8, Viela 4 - Luiza (13) 9886-5286 / Cidade Ademar - 200 famílias - 200 refeições;-23,6837053;-46,6578881
7;Av. Carlos Barbosa Santos, 2701 - Jardim Noronha, São Paulo - SP, 04853-015 Associaçao de moradores do  porto velho ll e ADJACENCIAS. Cnpj 45.778.840/0001-18;-23,7734119;-46,6806792
8;CEU Paz 1;-23,4468269;-46,6894732
9;CEU Paz 2;-23,4516714;-46,6912597
10;Comunidade do Tubo Zona Sul / Rua nova Délhi, 409- Jd.Edith (Capela do Socorro) / Lucas (11) 99638-5656       200 famílias - 200 refeições;-23,7220339;-46,6855531
11;"Comunidade PieMonteses - Butanta 200 unidades (Associação de moradores da comunidade Cidade Nova Piemonteses
Rua dos Piemonteses 841 - jardim do lago Butantã São Paulo. CEP: 05550-070
(+55 11 94936-2360 - Cristiano ) - 200 famílias - 200 marmitas";-23,583078;-46,7830829
12;Favela do Sapo;-23,5335329;-46,553669
13;Instituto Viva Melhor (CCA Sete de setembro ) Avenida Carlos Alberto Bastos Machado, 1993 - Jardim sete de setembro / Vânia (11) 98653-9000 ) - 600 famílias - 600 marmitas;-23,7737321;-46,693345
14;Jardim Lourdes   - Rua Caabopoxi Vila Primeira de Outubro 44, Guianases 08452-385    200 famílias - 200 refeições  (11) 94089.9539 - Sara Isabel;-23,5293173;-46,3981005
15;Jardim Peri;-23,4646701;-46,6546177
16;Jardim Sabia - Av. Paulo Guilguer Reimberg n.3445, Jd. Sabia, Cep: 04858-570   200 famílias - 200 refeições                                 (11) 96129-4442 / 11 5938-1819;-23,7803128;-46,6895026
17;Olarias;-23,526326;-46,6205011
18;ONG Rede Social Vida Nova;-23,6206649;-46,4928956
19;OUCAE-Afonso XIII;-23,6574339;-46,6508371
20;OUCAE-Imigrantes;-23,6439746;-46,6577295
21;OUCAE-Paraguai;-23,6561309;-46,6511805
22;OUCFL Coliseu;-23,5939718;-46,6900787
23;Paróquia São Francisco de Assis ;-23,6735235;-46,6460676
24;Rodolfo Pirani;-23,6338122;-46,4599137
25;Rua Lindouro Machado Sant'Ana - CEP 05833 180 (Associação amigos do coração, Jardim Vaz de Lima) - Edi Gomes (11) 96844-9685 - 200 famílias - 200 marmitas;-23,6693277;-46,7608281
26;Santuário São Judas Tadeu Rua Acáccio Fontoura, 153 Jardim Real, 04831-050 São Paulo - SP. TEL: 11 2609 5528/ 11- 97473-4200 padre Antony;-23,7316201;-46,7157082
27;Sítio Itaberaba II;-23,4495241;-46,8014976
28;Sul Ipiranga;-23,6124462;-46,5930521
29;Vila Nova Galvão;-23,4585393;-46,5749267
30;Zaki Narchi;-23,5107823;-46,6211046
31;OUCAE-Túlio Teodoro/Souza Dantas;-23,6455191;-46,6595438
32;Paraisópolis;-23,5939718;-46,6900787
33;Jardim Eliana;-23,7541584;-46,6704601
34;Vila do Sol;-23,7411114;-46,7825055
35;Av Jabaquara, 2682;-23,627157;-46,643125
36;Av. Rangel Pestana, 215;-23,549899;-46,631562
37;Peri Alto;-23,457595;-46,669101
38;Rua Baumann, nº. 1263;-23,537148;-46,729235
39;Rua General Carneiro, 175;-23,546747;-46,632769
40;Rua Japichaua, 596;-23,48337;-46,466587
41;Rua Maria Borba, 15;-23,547289;-46,648347
42;Rua Nicolau Gagliardi;-23,561031;-46,700269
43;Rua Tenente Godofredo Cerqueira Leite, 25;-23,614497;-46,498308
44;Santuário São Judas Tadeu Rua Acáccio Fontoura, 153;-23,731578;-46,715711
