ID;NOME_ORG;Latitude;Longitude
1;MEPSRSP - Mov. Est . Pop em Situação de Rua de SP - RUA SOLON;-23,5255532;-46,6440742
2;Associação Comunitária Amanhã para Todos do Parque Santo Antônio;-23,66578;-46,748966
3;Instituto Pra Viver Melhor;-23,63798;-46,4468154
4;Associação Ethos Sustentável;-23,4497828;-46,5841867
5;Associação Projeto Social Unidos pela Fé;-23,4516714;-46,6912597
6;Centro Assistencial ao Povo Carente do Estado de São Paulo;-23,5339472;-46,6411249
7;Associação Beneficente Folhinhas Verdes;-23,5859243;-46,3817073
8;Associação Beneficente Luz do Saber;-23,5861743;-46,3807477
9;Associação Expansão Cultural;-23,676358;-46,7847948
10;Associação Família Unida em Cristo - FUEC;-23,449024;-46,6982771
11;União da Periferia do Itaim Paulista;-23,5061361;-46,3822107
12;Associação dos Moradores do Parque Vera Cruz no Estado de São Paulo;-23,6552937;-46,7680203
13;Seguindo a Verdade em Amor - KALEBE CENTRO;-23,5568177;-46,6499189
14;Mover Helipa Movimento Organizacional Vencer Educar e Realizar;-23,5999812;-46,598107
15;Associação de Moradia Conjunto Teotônio Vilela;-23,6046045;-46,5054327
16;Instituto Macedonia;-23,6508813;-46,7892795
17;Ação Comunitária Nova Heliópolis;-23,605895;-46,5965209
18;Instituto de Pesquisa da Cozinha Brasileira - Pão do Povo da Rua;-23,53364;-46,630093
19;Som@r Associação de Desenvolvimento Social;-23,445142;-46,7491905
20;Associação Beneficente Menina dos Olhos de Ouro;-23,6035295;-46,4035776
21;Instituto Fenix Vida e Luz;-23,7594339;-46,7050662
22;Instituto Beneficente Mão Forte;-23,5647726;-46,405144
23;ANDDDES - Agência Nacional de Defesa e Garantia dos Direitos Difusos a Educação e Saúde;-23,6800057;-46,7777994
24;Associação Beneficente Juventude Evangélica Unidas Por São Paulo;-23,6873612;-46,6549005
25;UNAS - União de Núcleos e Associação dos Moradores de Heliópolis e Região;-23,6171106;-46,5909449
26;Centro Social Padre Paulo de Coppi e Maurilio Maritano - Anjos do Bem;-23,7050617;-46,6339378
27;Associação da Pedra para a Rocha;-23,5347933;-46,6457417
28;Associação Cantinho do Céu;-23,7425798;-46,6603908
29;Associação Nova Cibran;-23,4811822;-46,6627072
30;Instituto Social MUVT;-23,4561342;-46,6999832
31;Comunidade Evangélica Baluarte da Verdade;-23,4960987;-46,3849296
32;Associação Comunitária do Bombeiro e Adjacências;-23,7321358;-46,786508
33;Inst CEDESC - Centro Educ Desp Soc Cul Pq Fernanda;-23,668587;-46,7896902
34;Associação de Moradores com Muita Garra;-23,6596805;-46,790063
35;Instituto Grande Vitoria Capadocia;-23,4462188;-46,7048529
36;Instituto Social Aequalitas;-23,5393237;-46,7318615
37;Organização Comunitária Reage São Paulo;-23,7884741;-46,6797164
38;Instituto Educacional e Cultural Silva;-23,5177772;-46,4030558
39;Associação Cristã Beneficente do Brasil - ACBB;-23,6732676;-46,6377502
40;Instituto Escola Do Povo;-23,6170674;-46,7245497
41;Instituto Academia Carolinas Centro Social Educacional e Cultural;-23,5740052;-46,4127743
42;União Popular de Moradia Adão Manoel Da Silva;-23,5288996;-46,3917091
43;União Pelos Direitos Humanos Dos Moradores Do Jardim Das Rosas;-23,6333955;-46,4447782
44;Associação G.Vital;-23,5101142;-46,3833128
45;Centro de Integração Assistencial e Profissional São Patrício;-23,6069682;-46,505626
46;Associação da Comunidade do Tiro ao Pombo;-23,4717149;-46,6894013
47;Instituto Brasileiro De Alianças Sócio Ambiental Cultural - IBRASAC;-23,496652;-46,672074
48;Associação Unidos do Jangadeiro;-23,6901419;-46,782175
49;Instituto Propor;-23,6462522;-46,7357042
50;Associação de Moradores Miragaia Jardim Jaraguá;-23,5049565;-46,4047553
51;Centro de Convivência Itatinga;-23,6935234;-46,6368121
52;Centro Educacional Plantando Vidas;-23,4821488;-46,4954986
53;Associação Guarauna de Arte e Cultura;-23,7574622;-46,6811926
54;Associação Por Uma Semente De Paz;-23,5820068;-46,4175371
55;Associação Amigos da Família;-23,5562192;-46,4539361
56;Instituto Pra Cima Zona Leste;-23,5521616;-46,4840297
57;Instituto Elo Fraterno;-23,7719089;-46,7256455
58;Grupo De Apoio Comunitário Gaivotas;-23,7322307;-46,6682303
59;Associação Educar para Transformar;-23,448241;-46,699265
60;Associação Acezos;-23,717408;-46,6907007
61;Associação da Cidade Azul e Adjacentes;-23,6636357;-46,6476983
62;Associação Água no Deserto;-23,6394551;-46,6064376
63;Associação Brasileira de Pipas;-23,6257148;-46,4439096
64;Associação Cultural Pra Desenvolvimento Educacional Unindo Forças;-23,5480326;-46,4338892
65;Instituto Brasileiro Campeão de Assistência aos Municípios e Organizações Sociais Públicas e Privadas;-23,5793267;-46,7576071
